"d3mIndex","Region","Zone","Year","Month","Date","precipitation","TOTAL_A_KM","WATER_A_KM","LAND_A_KM","ISOALPHA","COUNTRYNM","population","population_density","MaizeRetailPrice_li","MaizeProductionQuintal","MaizeYieldQtHa","Fertilizer_Area.HA","Fertilizer_Hectare","Fertilizer_Quintal"
1,"Amhara","North Wello",2008,1,"2008-01",13.696742578,12297.11,0,12297.11,"ETH","Ethiopia",1680005,136.6179,4.088889,91539.61,13.41,396716,326571,394196
2,"Amhara","North Wello",2008,10,"2008-10",29.91432362,12297.11,0,12297.11,"ETH","Ethiopia",1705509,138.6919,5.8,91539.61,13.41,396716,326571,394196
3,"Amhara","North Wello",2008,12,"2008-12",7.1145652412,12297.11,0,12297.11,"ETH","Ethiopia",1711176,139.1528,5,91539.61,13.41,396716,326571,394196
4,"Amhara","Oromiya",2008,5,"2008-05",42.958436038,3805.731,0,3805.731,"ETH","Ethiopia",515504,135.4547,5.04197555555556,85308.21,14.92,396716,326571,394196
5,"Amhara","Oromiya",2008,4,"2008-04",19.75461182,3805.731,0,3805.731,"ETH","Ethiopia",514640.3,135.2278,4.81037066666667,85308.21,14.92,396716,326571,394196
6,"Amhara","Oromiya",2008,11,"2008-11",61.41090946,3805.731,0,3805.731,"ETH","Ethiopia",520685.9,136.8163,3.6,85308.21,14.92,396716,326571,394196
7,"Amhara","Oromiya",2008,3,"2008-03",3.292938015,3805.731,0,3805.731,"ETH","Ethiopia",513776.7,135.0008,4.57876577777778,85308.21,14.92,396716,326571,394196
8,"Amhara","Oromiya",2008,8,"2008-08",201.19785344,3805.731,0,3805.731,"ETH","Ethiopia",518095,136.1355,5.73679022222222,85308.21,14.92,396716,326571,394196
9,"Amhara","North Wello",2008,9,"2008-09",81.896502208,12297.11,0,12297.11,"ETH","Ethiopia",1702675,138.4614,5.60987655555556,91539.61,13.41,396716,326571,394196
10,"Amhara","Oromiya",2008,2,"2008-02",4.3122741402,3805.731,0,3805.731,"ETH","Ethiopia",512913,134.7739,4.34716088888889,85308.21,14.92,396716,326571,394196
